sample, JetFlavor, TotalNumberJets, LooseEff, MediumEff 
H2Mu_gg, FLAV_B, 339, 0.697264, 0.633244 
H2Mu_gg, FLAV_C, 554, 0.307713, 0.070594 
H2Mu_gg, FLAV_UDSG, 8204, 0.094604, 0.008410 
H2Mu_gg_120, FLAV_B, 0, 1.000000, 1.000000 
H2Mu_gg_120, FLAV_C, 0, 1.000000, 1.000000 
H2Mu_gg_120, FLAV_UDSG, 0, 1.000000, 1.000000 
H2Mu_gg_130, FLAV_B, 0, 1.000000, 1.000000 
H2Mu_gg_130, FLAV_C, 0, 1.000000, 1.000000 
H2Mu_gg_130, FLAV_UDSG, 0, 1.000000, 1.000000 
H2Mu_VBF, FLAV_B, 165, 0.446619, 0.416161 
H2Mu_VBF, FLAV_C, 1031, 0.327993, 0.118489 
H2Mu_VBF, FLAV_UDSG, 8013, 0.085587, 0.014830 
H2Mu_VBF_120, FLAV_B, 190, 0.804439, 0.713690 
H2Mu_VBF_120, FLAV_C, 997, 0.334164, 0.121483 
H2Mu_VBF_120, FLAV_UDSG, 7851, 0.092320, 0.013826 
H2Mu_VBF_130, FLAV_B, 240, 0.700688, 0.520168 
H2Mu_VBF_130, FLAV_C, 1010, 0.370105, 0.180712 
H2Mu_VBF_130, FLAV_UDSG, 8597, 0.067445, 0.007687 
H2Mu_ZH_125, FLAV_B, 1508, 0.793511, 0.657637 
H2Mu_ZH_125, FLAV_C, 1554, 0.350806, 0.121041 
H2Mu_ZH_125, FLAV_UDSG, 19385, 0.102769, 0.013473 
H2Mu_ZH_120, FLAV_B, 1601, 0.795606, 0.667743 
H2Mu_ZH_120, FLAV_C, 1470, 0.347566, 0.109514 
H2Mu_ZH_120, FLAV_UDSG, 18374, 0.107278, 0.015606 
H2Mu_ZH_130, FLAV_B, 1570, 0.786569, 0.677944 
H2Mu_ZH_130, FLAV_C, 1534, 0.379545, 0.122611 
H2Mu_ZH_130, FLAV_UDSG, 19432, 0.104909, 0.013945 
H2Mu_WH_pos_125, FLAV_B, 293, 0.674868, 0.543727 
H2Mu_WH_pos_125, FLAV_C, 1856, 0.376928, 0.123155 
H2Mu_WH_pos_125, FLAV_UDSG, 18734, 0.085878, 0.010741 
H2Mu_WH_pos_120, FLAV_B, 0, 1.000000, 1.000000 
H2Mu_WH_pos_120, FLAV_C, 0, 1.000000, 1.000000 
H2Mu_WH_pos_120, FLAV_UDSG, 0, 1.000000, 1.000000 
H2Mu_WH_pos_130, FLAV_B, 0, 1.000000, 1.000000 
H2Mu_WH_pos_130, FLAV_C, 0, 1.000000, 1.000000 
H2Mu_WH_pos_130, FLAV_UDSG, 0, 1.000000, 1.000000 
H2Mu_WH_neg_125, FLAV_B, 277, 0.681094, 0.568169 
H2Mu_WH_neg_125, FLAV_C, 2516, 0.392079, 0.121141 
H2Mu_WH_neg_125, FLAV_UDSG, 18756, 0.082764, 0.008449 
H2Mu_WH_neg_120, FLAV_B, 282, 0.709186, 0.563313 
H2Mu_WH_neg_120, FLAV_C, 2453, 0.375408, 0.116165 
H2Mu_WH_neg_120, FLAV_UDSG, 18454, 0.080924, 0.007963 
H2Mu_WH_neg_130, FLAV_B, 286, 0.751084, 0.612445 
H2Mu_WH_neg_130, FLAV_C, 2388, 0.372108, 0.116313 
H2Mu_WH_neg_130, FLAV_UDSG, 18255, 0.082366, 0.007988 
H2Mu_ttH_120, FLAV_B, 181708, 0.838842, 0.705982 
H2Mu_ttH_120, FLAV_C, 41012, 0.416337, 0.130349 
H2Mu_ttH_120, FLAV_UDSG, 207940, 0.089585, 0.010801 
H2Mu_ttH_125, FLAV_B, 180627, 0.839301, 0.706328 
H2Mu_ttH_125, FLAV_C, 40491, 0.415440, 0.130574 
H2Mu_ttH_125, FLAV_UDSG, 208309, 0.091007, 0.010864 
H2Mu_ttH_130, FLAV_B, 185262, 0.840475, 0.706420 
H2Mu_ttH_130, FLAV_C, 41777, 0.413534, 0.130195 
H2Mu_ttH_130, FLAV_UDSG, 212846, 0.091069, 0.010447 
ZJets, FLAV_B, 0, 1.000000, 1.000000 
ZJets, FLAV_C, 0, 1.000000, 1.000000 
ZJets, FLAV_UDSG, 0, 1.000000, 1.000000 
ZJets_hiM, FLAV_B, 0, 1.000000, 1.000000 
ZJets_hiM, FLAV_C, 0, 1.000000, 1.000000 
ZJets_hiM, FLAV_UDSG, 0, 1.000000, 1.000000 
ZJets_AMC, FLAV_B, 0, 1.000000, 1.000000 
ZJets_AMC, FLAV_C, 0, 1.000000, 1.000000 
ZJets_AMC, FLAV_UDSG, 0, 1.000000, 1.000000 
ZJets_hiM_MG, FLAV_B, 3540, 0.782913, 0.647551 
ZJets_hiM_MG, FLAV_C, 5270, 0.358816, 0.123617 
ZJets_hiM_MG, FLAV_UDSG, 58010, 0.091111, 0.008790 
ZJets_MG_1, FLAV_B, 1180, 0.765409, 0.640785 
ZJets_MG_1, FLAV_C, 1520, 0.385549, 0.121201 
ZJets_MG_1, FLAV_UDSG, 17095, 0.089083, 0.010592 
ZJets_hiM_AMC, FLAV_B, 6134, 0.768985, 0.639018 
ZJets_hiM_AMC, FLAV_C, 8135, 0.374273, 0.135587 
ZJets_hiM_AMC, FLAV_UDSG, 79546, 0.090570, 0.009744 
tt_ll, FLAV_B, 0, 1.000000, 1.000000 
tt_ll, FLAV_C, 0, 1.000000, 1.000000 
tt_ll, FLAV_UDSG, 0, 1.000000, 1.000000 
tt_ll_MG, FLAV_B, 61903, 0.828977, 0.701431 
tt_ll_MG, FLAV_C, 3606, 0.346887, 0.121194 
tt_ll_MG, FLAV_UDSG, 56584, 0.088946, 0.009535 
tt_ll_AMC, FLAV_B, 7212, 0.826859, 0.703373 
tt_ll_AMC, FLAV_C, 468, 0.243111, 0.022392 
tt_ll_AMC, FLAV_UDSG, 7479, 0.096242, 0.009497 
tt_ll_POW, FLAV_B, 135460, 0.826522, 0.699333 
tt_ll_POW, FLAV_C, 7471, 0.344157, 0.123491 
tt_ll_POW, FLAV_UDSG, 117049, 0.083191, 0.008750 
tW_pos, FLAV_B, 250, 0.769093, 0.624771 
tW_pos, FLAV_C, 19, 0.360762, 0.223615 
tW_pos, FLAV_UDSG, 239, 0.086997, 0.005136 
tW_neg, FLAV_B, 212, 0.838825, 0.733606 
tW_neg, FLAV_C, 12, 0.322926, 0.129297 
tW_neg, FLAV_UDSG, 255, 0.081871, 0.012010 
tHq, FLAV_B, 8243, 0.816160, 0.688234 
tHq, FLAV_C, 601, 0.268024, 0.092307 
tHq, FLAV_UDSG, 5752, 0.064923, 0.009027 
tHW, FLAV_B, 4720, 0.803711, 0.671316 
tHW, FLAV_C, 1130, 0.442422, 0.148654 
tHW, FLAV_UDSG, 6058, 0.109177, 0.014194 
tZq, FLAV_B, 579390, 0.791976, 0.664960 
tZq, FLAV_C, 78529, 0.313393, 0.103066 
tZq, FLAV_UDSG, 733885, 0.071227, 0.008569 
ttZ, FLAV_B, 32508, 0.821518, 0.680791 
ttZ, FLAV_C, 7077, 0.433692, 0.144935 
ttZ, FLAV_UDSG, 40106, 0.090794, 0.010493 
ttWW, FLAV_B, 2330, 0.840698, 0.712335 
ttWW, FLAV_C, 537, 0.405287, 0.115184 
ttWW, FLAV_UDSG, 2640, 0.102150, 0.016631 
ttW, FLAV_B, 3661, 0.840516, 0.698900 
ttW, FLAV_C, 238, 0.439430, 0.099464 
ttW, FLAV_UDSG, 2684, 0.074189, 0.000961 
ttH, FLAV_B, 15994, 0.833836, 0.701384 
ttH, FLAV_C, 3134, 0.419422, 0.151220 
ttH, FLAV_UDSG, 18012, 0.102190, 0.013124 
ttZ_lowM, FLAV_B, 3268, 0.821174, 0.679737 
ttZ_lowM, FLAV_C, 570, 0.410430, 0.152605 
ttZ_lowM, FLAV_UDSG, 3610, 0.093180, 0.008709 
WZ_2l, FLAV_B, 444, 0.682512, 0.542587 
WZ_2l, FLAV_C, 9588, 0.372856, 0.110316 
WZ_2l, FLAV_UDSG, 43071, 0.084234, 0.008038 
ZZ_2l_2q, FLAV_B, 3038, 0.745523, 0.631959 
ZZ_2l_2q, FLAV_C, 1653, 0.434302, 0.148743 
ZZ_2l_2q, FLAV_UDSG, 9016, 0.089509, 0.011832 
WZ_3l, FLAV_B, 3913, 0.703415, 0.556254 
WZ_3l, FLAV_C, 39086, 0.371575, 0.114012 
WZ_3l, FLAV_UDSG, 334090, 0.085015, 0.008569 
ggZZ_4mu, FLAV_B, 8457, 0.698525, 0.581212 
ggZZ_4mu, FLAV_C, 26691, 0.310326, 0.103384 
ggZZ_4mu, FLAV_UDSG, 474240, 0.071420, 0.006622 
ggZZ_4tau, FLAV_B, 10, 0.549507, 0.470384 
ggZZ_4tau, FLAV_C, 45, 0.329233, 0.059343 
ggZZ_4tau, FLAV_UDSG, 879, 0.178298, 0.042209 
ggZZ_2e2mu, FLAV_B, 3015, 0.679911, 0.572055 
ggZZ_2e2mu, FLAV_C, 9636, 0.309661, 0.104454 
ggZZ_2e2mu, FLAV_UDSG, 197404, 0.085350, 0.008768 
ggZZ_2e2tau, FLAV_B, 12, 0.474664, 0.392208 
ggZZ_2e2tau, FLAV_C, 29, 0.541120, 0.258832 
ggZZ_2e2tau, FLAV_UDSG, 614, 0.110191, 0.008152 
ggZZ_2mu2tau, FLAV_B, 1099, 0.704648, 0.579353 
ggZZ_2mu2tau, FLAV_C, 3623, 0.311631, 0.094631 
ggZZ_2mu2tau, FLAV_UDSG, 85259, 0.180079, 0.034743 
WW_2l_1, FLAV_B, 34, 0.773942, 0.714171 
WW_2l_1, FLAV_C, 145, 0.319948, 0.119012 
WW_2l_1, FLAV_UDSG, 1676, 0.105824, 0.012689 
ZZ_4l, FLAV_B, 4526, 0.746382, 0.621064 
ZZ_4l, FLAV_C, 9354, 0.335158, 0.108725 
ZZ_4l, FLAV_UDSG, 142834, 0.099337, 0.012985 
WWW, FLAV_B, 12, 0.684090, 0.463111 
WWW, FLAV_C, 52, 0.276890, 0.122554 
WWW, FLAV_UDSG, 459, 0.067882, 0.008687 
WWZ, FLAV_B, 38, 0.716226, 0.536396 
WWZ, FLAV_C, 565, 0.384406, 0.101098 
WWZ, FLAV_UDSG, 2929, 0.096354, 0.014480 
WZZ, FLAV_B, 417, 0.736700, 0.595291 
WZZ, FLAV_C, 637, 0.354159, 0.095785 
WZZ, FLAV_UDSG, 3652, 0.099498, 0.010372 
ZZZ, FLAV_B, 532, 0.791563, 0.639291 
